team_name,player_name,position,goals,appearances
Argentina,Lionel Messi,FWD,7,7
Argentina,Julian Alvarez,FWD,4,7
Argentina,Alexis Mac Allister,MID,1,7
Argentina,Angel Di Maria,FWD,1,5
Argentina,Nahuel Molina,DEF,1,7
Argentina,Enzo Fernandez,MID,1,7
Argentina,Emiliano Martinez,GK,0,7
Argentina,Rodrigo De Paul,MID,0,7
Argentina,Cristian Romero,DEF,0,7
Argentina,Nicolas Otamendi,DEF,0,7
France,Kylian Mbappe,FWD,8,7
France,Olivier Giroud,FWD,4,7
France,Antoine Griezmann,MID,2,7
France,Ousmane Dembele,FWD,0,6
France,Aurelien Tchouameni,MID,0,7
France,Theo Hernandez,DEF,0,7
France,Hugo Lloris,GK,0,7
France,Raphael Varane,DEF,0,6
France,Adrien Rabiot,MID,1,7
France,Randal Kolo Muani,FWD,1,4
Croatia,Luka Modric,MID,0,7
Croatia,Ivan Perisic,FWD,3,7
Croatia,Marko Livaja,FWD,1,3
Croatia,Mislav Orsic,FWD,1,4
Croatia,Bruno Petkovic,FWD,2,6
Croatia,Dominik Livakovic,GK,0,7
Croatia,Josko Gvardiol,DEF,1,7
Morocco,Achraf Hakimi,DEF,1,7
Morocco,Youssef En-Nesyri,FWD,3,7
Morocco,Sofiane Boufal,MID,1,5
Morocco,Hakim Ziyech,MID,1,5
Morocco,Yassine Bounou,GK,0,7
Morocco,Romain Saiss,DEF,1,6
Brazil,Neymar,FWD,2,5
Brazil,Vinicius Junior,FWD,1,5
Brazil,Richarlison,FWD,3,4
Brazil,Casemiro,MID,1,5
Brazil,Raphinha,MID,0,5
Brazil,Lucas Paqueta,MID,1,5
Brazil,Alisson,GK,0,5
Brazil,Thiago Silva,DEF,0,5
Portugal,Cristiano Ronaldo,FWD,1,5
Portugal,Goncalo Ramos,FWD,3,2
Portugal,Bruno Fernandes,MID,2,5
Portugal,Pepe,DEF,1,4
Portugal,Rafael Leao,FWD,1,3
Portugal,Diogo Costa,GK,0,5
England,Harry Kane,FWD,2,5
England,Jude Bellingham,MID,1,5
England,Bukayo Saka,FWD,3,5
England,Marcus Rashford,FWD,3,4
England,Phil Foden,MID,1,4
England,Jordan Pickford,GK,0,5
England,Raheem Sterling,FWD,1,3
Netherlands,Memphis Depay,FWD,2,5
Netherlands,Cody Gakpo,FWD,3,5
Netherlands,Wout Weghorst,FWD,2,2
Netherlands,Frenkie de Jong,MID,0,5
Netherlands,Virgil van Dijk,DEF,0,5
Netherlands,Andries Noppert,GK,0,4
Spain,Alvaro Morata,FWD,1,3
Spain,Ferran Torres,FWD,2,3
Spain,Marco Asensio,MID,1,3
